,	, ,
jotos-jotosan	VB jotos-jotosan
jotos samping	VB jotos samping
jotos	VB jotos
jreng	NN jreng
jual akad	VB jual akad
jual akal	VB jual akal
jual aksi	VB jual aksi
jual bicara	VB jual bicara
jual calo	VB jual calo
jual dadak	VB jual dadak
jual diri	VB jual diri
jual dongkelan	VB jual dongkelan
jual fiktif	VB jual fiktif
jual gadai	VB jual gadai
jual galah	VB jual galah
jual gantung	VB jual gantung
jual gigi	VB jual gigi
jual jamu	VB jual jamu
jual kecap	VB jual kecap
jual kemplangan	VB jual kemplangan
jual keras	VB jual keras
jual koyok	VB jual koyok
jual kurang	VB jual kurang
jual lagak	VB jual lagak
jual lalu	VB jual lalu
jual lelang	VB jual lelang
jual lembut	VB jual lembut
jual lepas	VB jual lepas
jual mahal	VB jual mahal
jual mata	VB jual mata
jual mele	VB jual mele
jual muka	VB jual muka
jual mutlak	VB jual mutlak
jual nama	VB jual nama
jual putus	VB jual putus
jual sanda	VB jual sanda
jual sende	VB jual sende
jual sontak	VB jual sontak
jual tahunan baluran	VB jual tahunan baluran
jual tampang	VB jual tampang
jual tandu	VB jual tandu
jual titip	VB jual titip
jual	VB jual
juang	DT juang
jubel	DT jubel
jujah	NN jujah
jukung	NN jukung
julab	NN julab
julang	DT julang
juli	NN juli
julo	NN julo
juluk	VB juluk
julur	DT julur
jumantara	NN jumantara
jumatan	NN jumatan
jumat	NN jumat
jumawa	JJ jumawa
jumbuh	JJ jumbuh
jumjumah	NN jumjumah
jumlah	NN jumlah
jumpa muka	VB jumpa muka
jumpa pers	VB jumpa pers
jumpa	VB jumpa
jumputan	NN jumputan
jumrah	DT jumrah
jungkir	VB jungkir
jungur	NN jungur
juni	NN juni
junior	JJ junior
junjung	VB junjung
juntrungan	NN juntrungan
junub	NN junub
jurai	NN jurai
jurang generasi	NN jurang generasi
jurang kehidupan	NN jurang kehidupan
jurang komunikasi	NN jurang komunikasi
jurang	NN jurang
jurang pemisah	NN jurang pemisah
jurang selisih generasi	NN jurang selisih generasi
juring	NN juring
jurnalis	NN jurnalis
jurnalistik elektronik	NN jurnalistik elektronik
jurnalistik	NN jurnalistik
jurnal	NN jurnal
jurnal olahraga	NN jurnal olahraga
justifikasi	NN justifikasi
justru	RB justru
jute	NN jute
juz	NN juz
kaboi	NN kaboi
kabul	NN kabul
kabung	NN kabung
kabupaten	NN kabupaten
kabus	NN kabus
kacangan	NN kacangan
kacang anoa	NN kacang anoa
kacang arab	NN kacang arab
kacang babi	NN kacang babi
kacang bandung	NN kacang bandung
kacang banteng	NN kacang banteng
kacang bogor	NN kacang bogor
kacang botor	NN kacang botor
kacang buncis	NN kacang buncis
kacang cina	NN kacang cina
kacang dieng	NN kacang dieng
kacang gajah	NN kacang gajah
kacang garing	NN kacang garing
kacang goreng	NN kacang goreng
kacang hijau	NN kacang hijau
kacang-kacangan	NN kacang-kacangan
kacang-kacang	NN kacang-kacang
kacang kara	NN kacang kara
kacang kedelai	NN kacang kedelai
kacang keling	NN kacang keling
kacang kidang	NN kacang kidang
kacang macan	NN kacang macan
kacang mede	NN kacang mede
kacang merah	NN kacang merah
kacang miang	NN kacang miang
kacang	NN kacang
kacang ose	NN kacang ose
kacang panjang	NN kacang panjang
kacang pelanduk	NN kacang pelanduk
kacang polong	NN kacang polong
kacang rebus	NN kacang rebus
kacang rusa	NN kacang rusa
kacang tanah	NN kacang tanah
kacang tapir	NN kacang tapir
kacang tupai	NN kacang tupai
kacauan	NN kacauan
kacir	DT kacir
kacrek	JJ kacrek
kacuk	JJ kacuk
kacung golf	NN kacung golf
kacung koran	NN kacung koran
kacung	NN kacung
kacung tenis	NN kacung tenis
kadang	DT kadang
kadang-kadang kala	RB kadang-kadang kala
kadang-kadang	RB kadang-kadang
kadang kedayan	VB kadang kedayan
kademat	NN kademat
kadera	NN kadera
kaderisasi	NN kaderisasi
kades	NN kades
kad	NN kad
kadung	RB kadung
kadut	NN kadut
kaedah	DT kaedah
kafaah	JJ kafaah
kafarat	NN kafarat
kafil	NN kafil
kaftan	NN kaftan
kagak	RB kagak
kahaf	NN kahaf
kahak	NN kahak
kah	DT kah
kahrab	NN kahrab
kahwa	NN kahwa
kahyangan	NN kahyangan
kaidah Amagat-Leduc	NN kaidah Amagat-Leduc
kaidah Behaghel kedua	NN kaidah Behaghel kedua
kaidah Behaghel pertama	NN kaidah Behaghel pertama
kaidah dasar	NN kaidah dasar
kaidah fonologi	NN kaidah fonologi
kaidah konstruksi	NN kaidah konstruksi
kaidah	NN kaidah
kail-kail	NN kail-kail
kaimat	NN kaimat
kaisar	NN kaisar
kais	VB kais
kait-kait	NN kait-kait
kajian	NN kajian
kaji lama	NN kaji lama
kaji	NN kaji
kakang	NN kakang
kak	NN kak
kaktus apunsia	NN kaktus apunsia
kaktus astrafitum	NN kaktus astrafitum
kaktus bola emas	NN kaktus bola emas
kaktus ferakaktus	NN kaktus ferakaktus
kaktus	NN kaktus
kaktus sagnara	NN kaktus sagnara
kalai	DT kalai
kalajengking	NN kalajengking
kalakian	DT kalakian
kalang batang	NN kalang batang
kalang hulu	NN kalang hulu
kalang	NN kalang
kalengan	JJ kalengan
kaleng-kalengan	NN kaleng-kalengan
kaleng	NN kaleng
kalian	PR kalian
kalibut	NN kalibut
kali-kalian	NN kali-kalian
kaliki	NN kaliki
kalimah	NN kalimah
kalimah syahadat	NN kalimah syahadat
kalimah taibah	NN kalimah taibah
kalingan	VB kalingan
kalium	NN kalium
kalkun	NN kalkun
kalong	NN kalong
kalori	NN kalori
kalung	NN kalung
kalus	NN kalus
kamas	NN kamas
kambar	NN kambar
kambeli	NN kambeli
kambuhan	VB kambuhan
kambuh	VB kambuh
kamera film	NN kamera film
kamera	NN kamera
kamera otofokus	NN kamera otofokus
kamera saku	NN kamera saku
kamera televisi	NN kamera televisi
kamerawan	NN kamerawan
kamisa	NN kamisa
kamis	NN kamis
kampas	NN kampas
kamping	NN kamping
kampungan	JJ kampungan
kampus	NN kampus
kamrad	NN kamrad
kamuflase	NN kamuflase
kanak-kanak	NN kanak-kanak
kancah apung	NN kancah apung
kancah benam	NN kancah benam
kancah kehinaan	NN kancah kehinaan
kancah	NN kancah
kancah peperangan	NN kancah peperangan
kancil	NN kancil
kandang buaya	NN kandang buaya
kandang bulan	NN kandang bulan
kandang harimau	NN kandang harimau
kandang jepit	NN kandang jepit
kandang kawin	NN kandang kawin
kandang mobil	NN kandang mobil
kandang monyet	NN kandang monyet
kandang	NN kandang
kandang singa	NN kandang singa
kandang tandang	NN kandang tandang
kandaran	NN kandaran
kandas	VB kandas
kandel	JJ kandel
kandil	NN kandil
kandis	NN kandis
-kan	DT -kan
kandung air mata	NN kandung air mata
kandung jantung	NN kandung jantung
kandung kencing	NN kandung kencing
kandung	NN kandung
kandutan	NN kandutan
kang	DT kang
kangen	JJ kangen
kangen-kangenan	VB kangen-kangenan
kangsa	NN kangsa
kanibalisasi	NN kanibalisasi
kanker in situ	NN kanker in situ
kanker	NN kanker
ka	NN ka
kan	NN kan
kanopi	NN kanopi
kanstof	NN kanstof
kantilever	NN kantilever
kantin	NN kantin
kanto	NN kanto
kantor bank	NN kantor bank
kantor berita	NN kantor berita
kantor besar	NN kantor besar
kantor cabang	NN kantor cabang
kantor departemen	NN kantor departemen
kantor dinas	NN kantor dinas
kantor kawat	NN kantor kawat
kantor lelang	NN kantor lelang
kantor	NN kantor
kantor pengadilan	NN kantor pengadilan
kantor perwakilan	NN kantor perwakilan
kantor polisi	NN kantor polisi
kantor pos	NN kantor pos
kantor pusat	NN kantor pusat
kantor tera	NN kantor tera
kantor wilayah	NN kantor wilayah
kantuk	NN kantuk
kanun	NN kanun
kanvas	NN kanvas
kanyon	NN kanyon
kapa	NN kapa
kapasitas	NN kapasitas
kapi	NN kapi
kapitalis birokrat	NN kapitalis birokrat
kapitalis borjuis	NN kapitalis borjuis
kapitalisme	NN kapitalisme
kapitalis	NN kapitalis
kapita	NN kapita
kapling	NN kapling
kappa	NN kappa
kaprah	JJ kaprah
Kaprikornus	NN Kaprikornus
kapsul	NN kapsul
kapten	NN kapten
kapulaga	NN kapulaga
karang balita	NN karang balita
karang-karangan	NN karang-karangan
karang keputraan	NN karang keputraan
karang-mengarang	NN karang-mengarang
karang	NN karang
karang otak	NN karang otak
karang sedimenter	NN karang sedimenter
karang taruna	NN karang taruna
karantina	NN karantina
karaoke	NN karaoke
karap	NN karap
karar	JJ karar
karate	NN karate
karawitan	NN karawitan
karbit	NN karbit
karbohidrat	NN karbohidrat
karbonado	NN karbonado
karbon dioksida	NN karbon dioksida
karbon monoksida	NN karbon monoksida
karbon	NN karbon
karbon tetraklorida	NN karbon tetraklorida
karburator	NN karburator
karcis masuk	NN karcis masuk
karcis	NN karcis
karcis terusan	NN karcis terusan
kardia	NN kardia
kardigan	NN kardigan
kardiovaskular	JJ kardiovaskular
kardus	NN kardus
karembong	NN karembong
karena Allah	DT karena Allah
karena	DT karena
karier	NN karier
karkas dingin	NN karkas dingin
karkas layu	NN karkas layu
karkas	NN karkas
karkas segar	NN karkas segar
karkun	NN karkun
karnivor	NN karnivor
karotenoid	NN karotenoid
karotin	NN karotin
karpet	NN karpet
karsinogenik	JJ karsinogenik
kartel	NN kartel
kartika	NN kartika
karti	NN karti
karton dupleks	NN karton dupleks
karton	NN karton
kartun	NN kartun
karuan	JJ karuan
karung	NN karung
karun	NN karun
karut	DT karut
karyah	NN karyah
kasam	NN kasam
kasang	JJ kasang
kasasi	NN kasasi
kasdu	VB kasdu
kasemat	NN kasemat
kasid	NN kasid
kasim	JJ kasim
kasino	NN kasino
kasip	VB kasip
kasi	VB kasi
kaskaya	NN kaskaya
kaspe	NN kaspe
kasual	DT kasual
kasualitas	NN kasualitas
kata-	DT kata-
katagori	NN katagori
katalis negatif	NN katalis negatif
katalis	NN katalis
katalis positif	NN katalis positif
katalog berkas	NN katalog berkas
katalog kartu	NN katalog kartu
katalog nama	NN katalog nama
katalog	NN katalog
katalog umum	NN katalog umum
katalogus	NN katalogus
katan	VB katan
katarsis	NN katarsis
kategorisasi	NN kategorisasi
katek	DT katek
kateter	NN kateter
katib	NN katib
katil	NN katil
kati	NN kati
kation	NN kation
katung	NN katung
katut	VB katut
kaukus	NN kaukus
kauman	NN kauman
kaut	VB kaut
kawalan	NN kawalan
kawal batas	NN kawal batas
kawal jaga	NN kawal jaga
kawal	NN kawal
kawal sambang	NN kawal sambang
kawang	NN kawang
kawatir	JJ kawatir
kawijayan	NN kawijayan
kawin-mawin	NN kawin-mawin
kawula muda	NN kawula muda
kawula	NN kawula
kawung	NN kawung
kayu-kayu	NN kayu-kayu
keabnormalan	NN keabnormalan
keabsahan	NN keabsahan
keabstainan	NN keabstainan
keadikuasaan	NN keadikuasaan
keagresifan	NN keagresifan
keairan	VB keairan
keakanan	NN keakanan
keakuratan	NN keakuratan
kealahan	NN kealahan
kealaman	NN kealaman
keampunan	NN keampunan
keandalan	NN keandalan
keanekaan	NN keanekaan
keanggotaan	NN keanggotaan
keanggunan	NN keanggunan
keanginan	VB keanginan
keangkaraan	NN keangkaraan
keanjalan	NN keanjalan
kearab-araban	JJ kearab-araban
keartisan	NN keartisan
keartistikan	NN keartistikan
keasaman	NN keasaman
keasinan	JJ keasinan
keasyikan	NN keasyikan
keasyik-asyikan	JJ keasyik-asyikan
keausan	NN keausan
keawaman	NN keawaman
keayahan	NN keayahan
keazaman	NN keazaman
kebablasan	NN kebablasan
kebab	NN kebab
kebadungan	NN kebadungan
kebagian	VB kebagian
kebahagiaan	NN kebahagiaan
kebaharian	NN kebaharian
kebahasaan	NN kebahasaan
kebakuan	NN kebakuan
kebandaraan	NN kebandaraan
kebanditan	NN kebanditan
kebangetan	NN kebangetan
kebanggaan nasional	NN kebanggaan nasional
kebanggaan	NN kebanggaan
kebangkitan nasional	NN kebangkitan nasional
kebangkitan	NN kebangkitan
kebangkrutan	NN kebangkrutan
kebangsaan	NN kebangsaan
kebangunan	NN kebangunan
kebanjiran	VB kebanjiran
kebanyakan	NN kebanyakan
kebapakan	JJ kebapakan
kebasah-basahan	JJ kebasah-basahan
kebasian	NN kebasian
kebat	NN kebat
kebaya	NN kebaya
kebayi-bayian	JJ kebayi-bayian
kebelanda-belandaan	JJ kebelanda-belandaan
kebeliaan	NN kebeliaan
kebenderangan	NN kebenderangan
kebengisan	NN kebengisan
kebeningan	NN kebeningan
kebentur	VB kebentur
keberadaan	NN keberadaan
keberagamaan	NN keberagamaan
keberahian	NN keberahian
keberaksaraan	NN keberaksaraan
keberangkatan	NN keberangkatan
keberanian	NN keberanian
keberanjakan	NN keberanjakan
keberartian	NN keberartian
keberbagaian	NN keberbagaian
keberhasilan	NN keberhasilan
keberingasan	NN keberingasan
keberjayaan	NN keberjayaan
keberkatan	NN keberkatan
keberlakuan	NN keberlakuan
keberlangsungan	NN keberlangsungan
keberlarut-larutan	NN keberlarut-larutan
kebernalaran	NN kebernalaran
keberpihakan	NN keberpihakan
kebersihan	NN kebersihan
keberterimaan	NN keberterimaan
keberuntungan	NN keberuntungan
kebiadaban	NN kebiadaban
kebijaksanaan	NN kebijaksanaan
kebilangan	NN kebilangan
kebimbangan	NN kebimbangan
kebinasaan	NN kebinasaan
kebin	DT kebin
kebingungan	NN kebingungan
kebiri	JJ kebiri
keblangsak	VB keblangsak
keblinger	VB keblinger
kebobrokan	NN kebobrokan
kebohongan	NN kebohongan
kebongkaran	NN kebongkaran
kebotakan	NN kebotakan
kebrutalan	NN kebrutalan
kebudak-budakan	JJ kebudak-budakan
kebudayaan agraris	NN kebudayaan agraris
kebudayaan asing	NN kebudayaan asing
kebudayaan barat	NN kebudayaan barat
kebudayaan daerah	NN kebudayaan daerah
kebudayaan nasional	NN kebudayaan nasional
kebudayaan	NN kebudayaan
kebudayaan rakyat	NN kebudayaan rakyat
kebudayaan timur	NN kebudayaan timur
kebuli	NN kebuli
kebuluran	JJ kebuluran
kebuntingan	NN kebuntingan
kebuntungan	NN kebuntungan
keburu	VB keburu
kebut	VB kebut
kebuyutan	NN kebuyutan
kecabaran	NN kecabaran
kecabuhan	NN kecabuhan
kecaburan	NN kecaburan
kecak	NN kecak
kecamuk	VB kecamuk
kecam	VB kecam
kecandan	NN kecandan
kecanggihan	NN kecanggihan
kecantikan	NN kecantikan
kecantol	VB kecantol
kecapan	NN kecapan
kecederaan	NN kecederaan
kece	JJ kece
kecek	NN kecek
kecekungan	NN kecekungan
kecele	JJ kecele
kecemburuan	NN kecemburuan
kecendekiaan	NN kecendekiaan
kecendekiawanan	NN kecendekiawanan
kecentang-perenangan	NN kecentang-perenangan
kecentilan	NN kecentilan
keceplosan	NN keceplosan
kecerdasan emosional	NN kecerdasan emosional
kecerdasan intelektual	NN kecerdasan intelektual
kecerdasan	NN kecerdasan
kecerdasan spiritual	NN kecerdasan spiritual
kecerdikan	NN kecerdikan
kecerewetan	NN kecerewetan
kecergasan	NN kecergasan
kecerlangan	NN kecerlangan
kecer	NN kecer
kecerobohan	NN kecerobohan
kecewa berat	JJ kecewa berat
kecewa	JJ kecewa
kecik	DT kecik
kecilan	JJ kecilan
kecil-mengecil	JJ kecil-mengecil
kecimpring	NN kecimpring
kecipratan	VB kecipratan
kecit	JJ kecit
kecokelatan	JJ kecokelatan
kecolongan	VB kecolongan
kecombrang	NN kecombrang
kecong	NN kecong
kecundang	NN kecundang
kecurangan	NN kecurangan
kecurigaan	NN kecurigaan
kedaerahan	NN kedaerahan
kedahsyatan	NN kedahsyatan
kedahuluan	VB kedahuluan
kedaian	NN kedaian
kedaifan	NN kedaifan
kedal	NN kedal
kedapatan	VB kedapatan
kedatangan	NN kedatangan
kedatuan	NN kedatuan
kedekatan	NN kedekatan
kedele	DT kedele
kedendaman	NN kedendaman
kedengaran	VB kedengaran
kedengkian	NN kedengkian
kedermawanan	NN kedermawanan
kedesaan	NN kedesaan
kedesa-desaan	JJ kedesa-desaan
kedewasaan	NN kedewasaan
kedewataan	NN kedewataan
kedigdayaan	NN kedigdayaan
kediktatoran	NN kediktatoran
kedinginan	JJ kedinginan
kedirgantaraan	NN kedirgantaraan
kedodoran	JJ kedodoran
kedogolan	NN kedogolan
kedokteran forensik	NN kedokteran forensik
kedokteran	NN kedokteran
kedondong	NN kedondong
kedot	JJ kedot
kedoyanan	NN kedoyanan
ke-	DT ke-
kedung	NN kedung
kedut	NN kedut
kedwibahasaan	NN kedwibahasaan
keeksentrikan	NN keeksentrikan
keeksotisan	NN keeksotisan
keeleganan	NN keeleganan
keemosian	NN keemosian
keempat-empatnya	NN keempat-empatnya
keempohan	NN keempohan
keengganan	NN keengganan
keesokan	NN keesokan
keevolusian	NN keevolusian
kefarmasian	NN kefarmasian
kefasikan	NN kefasikan
kefemininan	NN kefemininan
kefrustrasian	NN kefrustrasian
kegairahan	NN kegairahan
kegamblangan	NN kegamblangan
kegandrungan	NN kegandrungan
keganjilan	NN keganjilan
kegapahan	NN kegapahan
kegarangan	NN kegarangan
kegatalan	JJ kegatalan
kegelisahan	NN kegelisahan
kegelitaan	NN kegelitaan
kegemilangan	NN kegemilangan
kegemparan	NN kegemparan
kegemuruhan	NN kegemuruhan
kegenangan	JJ kegenangan
kegendutan	NN kegendutan
kegenialan	NN kegenialan
kegentaran	NN kegentaran
kegentingan	NN kegentingan
kegerejaan	NN kegerejaan
kegersangan	NN kegersangan
kegeruhan	NN kegeruhan
kegetolan	NN kegetolan
kegila-gilaan	JJ kegila-gilaan
kegirangan	NN kegirangan
kegirang-girangan	JJ kegirang-girangan
keglamoran	NN keglamoran
kegoblokan	NN kegoblokan
kegondrongan	NN kegondrongan
kegoyangan	NN kegoyangan
kegubernuran	NN kegubernuran
keguncangan	NN keguncangan
kegundahan	NN kegundahan
kehajian	NN kehajian
kehambaran	NN kehambaran
kehancuran	NN kehancuran
kehangatan	NN kehangatan
kehangusan hati	NN kehangusan hati
kehangusan	NN kehangusan
keharmonisan	NN keharmonisan
keharuan	NN keharuan
kehasratan	NN kehasratan
kehati-hatian	NN kehati-hatian
kehendak	NN kehendak
keheroikan	NN keheroikan
keheterogenan	NN keheterogenan
kehewanan	NN kehewanan
kehibukan	NN kehibukan
kehilangan	NN kehilangan
kehinaan	NN kehinaan
kehomogenan	NN kehomogenan
kehormatan	NN kehormatan
kehukuman	NN kehukuman
kehumasan	NN kehumasan
keikutsertaan	NN keikutsertaan
keimbangan	NN keimbangan
keimigrasian	NN keimigrasian
keimunan	NN keimunan
keindonesiaan	NN keindonesiaan
keindukan	NN keindukan
keinggris-inggrisan	JJ keinggris-inggrisan
keingintahuan	NN keingintahuan
keingkaran	NN keingkaran
keirian	NN keirian
keirihatian	NN keirihatian
keIslaman	NN keIslaman
keistimewaan	NN keistimewaan
keizinan	NN keizinan
kejaga-jagaan	VB kejaga-jagaan
kejang demam	JJ kejang demam
kejanggalan	NN kejanggalan
kejang	JJ kejang
kejangkitan	VB kejangkitan
kejang laring	JJ kejang laring
kejang mulut	JJ kejang mulut
kejang pedet	JJ kejang pedet
kejantanan	NN kejantanan
kejan	VB kejan
kejap	NN kejap
kejaran	NN kejaran
kejar	VB kejar
kejasmanian	NN kejasmanian
kejelusan	NN kejelusan
kejemawaan	NN kejemawaan
kejempolan	NN kejempolan
kejenakaan	NN kejenakaan
kejengkelan	NN kejengkelan
kejengkolan	JJ kejengkolan
kejernihan	NN kejernihan
kejingga-jinggaan	NN kejingga-jinggaan
kejituan	NN kejituan
kejohanan	NN kejohanan
kejuangan	NN kejuangan
kejumbuhan	NN kejumbuhan
kejumudan	NN kejumudan
kejur	JJ kejur
kejut	JJ kejut
kekabur-kaburan	JJ kekabur-kaburan
kekacaan	NN kekacaan
kekagetan	NN kekagetan
kekah	DT kekah
kekaisaran	NN kekaisaran
kekam	NN kekam
kekandi	NN kekandi
kekangan	NN kekangan
kekang	NN kekang
kekanseliran	NN kekanseliran
kekat	NN kekat
kekayuan	NN kekayuan
kek	DT kek
kekecewaan	NN kekecewaan
kekedotan	NN kekedotan
kekejangan	NN kekejangan
kekejutan	NN kekejutan
kekeliruan	NN kekeliruan
kekel	JJ kekel
kekeluargaan	NN kekeluargaan
kekenduran	NN kekenduran
kekentalan	NN kekentalan
kekenyalan	NN kekenyalan
kekerapan	NN kekerapan
kekerdilan	NN kekerdilan
kekeringan	NN kekeringan
kekhilafan	NN kekhilafan
kekhususan	NN kekhususan
kekinian	NN kekinian
kekisruhan	NN kekisruhan
kekitaan	NN kekitaan
kekok	JJ kekok
kekolektifan	NN kekolektifan
kekontrasan	NN kekontrasan
kekonyolan	NN kekonyolan
kekosongan	NN kekosongan
kekotaan	VB kekotaan
kekota-kotaan	JJ kekota-kotaan
kekreatifan	NN kekreatifan
kekritisan	NN kekritisan
kekumuhan	NN kekumuhan
kekuningan	JJ kekuningan
kekuning-kuningan	JJ kekuning-kuningan
kekuratoran	NN kekuratoran
kelabak	DT kelabak
kelabu	NN kelabu
keladi	NN keladi
kelaikan	NN kelaikan
kelajuan	NN kelajuan
kelaluan	VB kelaluan
kelamaan	JJ kelamaan
kelambanan	NN kelambanan
kelambatan	NN kelambatan
kelambir	NN kelambir
kelampauan	VB kelampauan
kelana alam	NN kelana alam
kelana	NN kelana
kelancaran	NN kelancaran
kelang	DT kelang
kelanggengan	NN kelanggengan
kelangkaan	NN kelangkaan
kelangkahan	VB kelangkahan
kelangkan	NN kelangkan
kelangsingan	NN kelangsingan
kelangsungan	NN kelangsungan
kelanjutan	NN kelanjutan
kelantaman	NN kelantaman
kelantangan	NN kelantangan
kelapa bali	NN kelapa bali
kelapa cungkil	NN kelapa cungkil
kelapa dara	NN kelapa dara
kelapa gading	NN kelapa gading
kelapa genjah	NN kelapa genjah
kelapa hibrida	NN kelapa hibrida
kelapa hijau	NN kelapa hijau
kelapa kecukan	NN kelapa kecukan
kelapa kering	NN kelapa kering
kelapa kopyor	NN kelapa kopyor
kelapa muda	NN kelapa muda
kelapa	NN kelapa
kelapa puan	NN kelapa puan
kelapa sawit	NN kelapa sawit
kelapukan	NN kelapukan
kelar	NN kelar
kelasah-kelusuh	JJ kelasah-kelusuh
kelasak	NN kelasak
kelasa	NN kelasa
kelaskaran	NN kelaskaran
kelat	NN kelat
kelawanan	NN kelawanan
kelayan	NN kelayan
kelebat	VB kelebat
keleburan	NN keleburan
kelebu	VB kelebu
kelegaan	NN kelegaan
kelelawar	NN kelelawar
keleleran	VB keleleran
kelelesa	NN kelelesa
kelembak	NN kelembak
kelembaman	NN kelembaman
kelembapan mutlak	NN kelembapan mutlak
kelembapan nisbi	NN kelembapan nisbi
kelembapan	NN kelembapan
kelembapan udara	NN kelembapan udara
kelembekan	NN kelembekan
kelembutan	NN kelembutan
kelengahan	NN kelengahan
kelengar	VB kelengar
kelengkeng	NN kelengkeng
kelengkungan	NN kelengkungan
kelenjar adrenal	NN kelenjar adrenal
kelenjar air mata	NN kelenjar air mata
kelenjar buntu	NN kelenjar buntu
kelenjar eksogen	NN kelenjar eksogen
kelenjar eksokrin	NN kelenjar eksokrin
kelenjar empedu	NN kelenjar empedu
kelenjar endokrin	NN kelenjar endokrin
kelenjar getah bening	NN kelenjar getah bening
kelenjar gondok	NN kelenjar gondok
kelenjar hijau	NN kelenjar hijau
kelenjar hipofinis	NN kelenjar hipofinis
kelenjar holokrin	NN kelenjar holokrin
kelenjar keringat	NN kelenjar keringat
kelenjar lieberkuhn	NN kelenjar lieberkuhn
kelenjar limfa	NN kelenjar limfa
kelenjar ludah	NN kelenjar ludah
kelenjar ludah perut	NN kelenjar ludah perut
kelenjar majemuk	NN kelenjar majemuk
kelenjar maksila	NN kelenjar maksila
kelenjar Meibom	NN kelenjar Meibom
kelenjar minyak	NN kelenjar minyak
kelenjar	NN kelenjar
kelenjar pembiakan	NN kelenjar pembiakan
kelenjar pituitari	NN kelenjar pituitari
kelenjar sungut	NN kelenjar sungut
kelenjar susu	NN kelenjar susu
kelenteng	NN kelenteng
kelentit	NN kelentit
kelenturan	NN kelenturan
kelenyapan	NN kelenyapan
kelepasan	NN kelepasan
kelepet	NN kelepet
kelesah	JJ kelesah
kelewahan	NN kelewahan
kelewatan	JJ kelewatan
kelewat batas	JJ kelewat batas
kelewat	JJ kelewat
kelian	NN kelian
keliar	DT keliar
kelihatannya	RB kelihatannya
kelih	JJ kelih
kelikat	NN kelikat
kelikir	NN kelikir
kelik	NN kelik
keliling	NN keliling
kelimpahan	VB kelimpahan
kelimpanan	VB kelimpanan
kelimpungan	JJ kelimpungan
kelimut	NN kelimut
kelincahan	NN kelincahan
kelindungan	VB kelindungan
kelinglungan	NN kelinglungan
keling	NN keling
kelinieran	NN kelinieran
keli	NN keli
kelintang	NN kelintang
kelintasan	VB kelintasan
kelipatan	NN kelipatan
kelipatan persekutuan bilangan asli	NN kelipatan persekutuan bilangan asli
kelipatan persekutuan	NN kelipatan persekutuan
kelipatan persekutuan terkecil	NN kelipatan persekutuan terkecil
kelip	NN kelip
keliru	JJ keliru
kelistrikan	NN kelistrikan
kelit	DT kelit
keliti	NN keliti
keloceh	DT keloceh
kelokak	VB kelokak
kelok	NN kelok
kelola	VB kelola
kelompang	JJ kelompang
kelompokan	NN kelompokan
kelompok bibit	NN kelompok bibit
kelompok dominan	NN kelompok dominan
kelompok formal	NN kelompok formal
kelompok informal	NN kelompok informal
kelompok kekerabatan	NN kelompok kekerabatan
kelompok minoritas	NN kelompok minoritas
kelompok	NN kelompok
kelompok pemirsa	NN kelompok pemirsa
kelompok pendengar	NN kelompok pendengar
kelompok pendesak	NN kelompok pendesak
kelompok sekepentingan	NN kelompok sekepentingan
kelompok setara	NN kelompok setara
kelompok tani	NN kelompok tani
kelompok umur	NN kelompok umur
kelongkong	NN kelongkong
kelontong	NN kelontong
kelop	JJ kelop
kelotok	VB kelotok
keloyoan	NN keloyoan
kelua belimbing	NN kelua belimbing
kelua jeruk	NN kelua jeruk
keluangan	NN keluangan
kelua	NN kelua
keluarbiasaan	NN keluarbiasaan
keluarga batih	NN keluarga batih
keluarga berantakan	NN keluarga berantakan
keluarga berencana	NN keluarga berencana
keluarga besar	NN keluarga besar
keluarga bilateral	NN keluarga bilateral
keluarga elementer	NN keluarga elementer
keluarga inti	NN keluarga inti
keluarga kerajaan	NN keluarga kerajaan
keluarga luas	NN keluarga luas
keluarga	NN keluarga
keluarga parsial	NN keluarga parsial
keluarga paternal	NN keluarga paternal
keluarga retak	NN keluarga retak
keluarga sedarah	NN keluarga sedarah
keluarga semenda	NN keluarga semenda
keluarga si putih	NN keluarga si putih
keluarga tradisional	NN keluarga tradisional
kelubung	NN kelubung
keluk	NN keluk
keluli	NN keluli
kelulu	JJ kelulu
kelulus	NN kelulus
kelumpuhan	NN kelumpuhan
kelumrahan	NN kelumrahan
kelumun	NN kelumun
kelunturan	JJ kelunturan
kelupas	VB kelupas
kelusuhan	NN kelusuhan
keluwung	NN keluwung
keluyuran	VB keluyuran
kemagnetan	NN kemagnetan
kemahalan	JJ kemahalan
kemahasiswaan	NN kemahasiswaan
kemajemukan	NN kemajemukan
kemajiran	NN kemajiran
kemakmuran nasional	NN kemakmuran nasional
kemakmuran	NN kemakmuran
kemaksimalan	NN kemaksimalan
kemalangan	NN kemalangan
kemalingan	VB kemalingan
kemalu-maluan	JJ kemalu-maluan
kemandekan	NN kemandekan
kemandulan	NN kemandulan
kemandulan primer	NN kemandulan primer
kemandulan sekunder	NN kemandulan sekunder
kemanja-manjaan	JJ kemanja-manjaan
kemanjuran	NN kemanjuran
kemantapan	NN kemantapan
kemanunggalan	NN kemanunggalan
kemaraan	NN kemaraan
kemarah-marahan	JJ kemarah-marahan
kemari	VB kemari
kemasakan	NN kemasakan
kemasinan	JJ kemasinan
kemas	JJ kemas
kemasyarakatan	NN kemasyarakatan
